jornada,fecha,resultado_oficial,nuestra_quiniela,aciertos,fallos_claros,fallos_sorpresa,lectura
44,Semana 8 - 2026,XX1121111XX111 | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
45,Semana 9 - 2026,X122X122222X21 | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
47,Semana 11 - 2026,21XX11X21212X1 | P15 M0,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
49,Semana 12 - 2026,12211111211111 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
50,Semana 12 - 2026,12112121122111 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
51,Semana 13 - 2026,112XXX12111XX1 | P15 M1,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
52,Semana 14 - 2026,X11XXX1121XX2X | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
53,Semana 14 - 2026,11X121X122X111 | P15 12,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
54,Semana 15 - 2026,221X21X1111222 | P15 02,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
55,Semana 15 - 2026,XX111X12211XX1 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
56,Semana 16 - 2026,22X2211X111X21 | P15 MM,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
57,Semana 16 - 2026,X1211111XX2121 | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
58,Semana 17 - 2026,111XX111212X2X | P15 2M,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
59,Semana 17 - 2026,X1211X2111221X | P15 00,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
60,Semana 18 - 2026,12221212X22121 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
61,10/05/2026,Pendiente,1X2 X 1 1X2 1X 1 X 1X2 2 X2 1 X 2 1,Pendiente,Pendiente,Pendiente,Se actualizará al terminar la jornada
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
